accuracy,coverage,density,f_score,total_active_feature_count,avg_active_feature_count,depth,splits,leaves,k,n_features,n_samples
0.3569,0.0,,,2,0.0,1,1,0,2,2,10000
0.3569,0.0,,,2,2.0,2,1,0,2,2,10000
0.3569,0.0,,,2,2.0,3,1,0,2,2,10000
0.3575,0.0009329808738920852,1.0,0.00186422246388069,2,2.0,4,1,0,2,2,10000
0.3749,0.029233400715285338,0.9591836734693877,0.05673758865248227,2,2.0,5,1,0,2,2,10000
0.384,0.044627585134504745,0.9471947194719472,0.08523908523908524,2,2.0,6,1,0,2,2,10000
0.3947,0.0634426994246618,0.9315068493150684,0.11879458436453633,2,2.0,7,1,0,2,2,10000
0.7105,0.8787124863940289,0.7276590265258821,0.7960836796506304,2,2.0,8,1,0,2,2,10000
0.3569,0.0,,,3,0.0,1,1,0,3,3,10000
0.3569,0.0,,,3,3.0,2,1,0,3,3,10000
0.3569,0.0,,,3,3.0,3,1,0,3,3,10000
0.3569,0.0,,,3,3.0,4,1,0,3,3,10000
0.3721,0.025345980407401648,0.9367816091954023,0.049356548069644214,3,3.0,5,1,0,3,3,10000
0.3774,0.03389830508474576,0.9437229437229437,0.0654458120684479,3,3.0,6,1,0,3,3,10000
0.3893,0.05411289068574094,0.9354838709677419,0.10230780537997941,3,3.0,7,1,0,3,3,10000
0.7291,0.8768465246462448,0.7462943356273161,0.8063201544291128,3,3.0,8,1,0,3,3,10000
