seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,runtime
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,4.545785486698151e-06
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,1,0.6934,0.0,,,0.48043052837573397,0.43866799045590654,1,2,3,0.0,81.41584353987128
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,2,0.7564,0.7870189171559034,0.575071496663489,0.6645552189479482,0.6296477495107631,0.4868281582924754,3,4,3,3.0,134.83363008778542
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,3,0.7923,0.7681017612524462,0.6328943832303144,0.6939737733903051,0.7782126549249837,0.5768385640128921,7,8,3,3.0,163.2341342139989
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,4,0.8352,0.9008480104370515,0.6726741354115928,0.770217512548801,0.8502283105022832,0.6088323697092248,14,15,3,3.0,183.691168196965
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,5,0.8491,0.9178082191780822,0.6912306558585114,0.7885666246321984,0.858983319355139,0.5619431293992203,27,28,3,3.0,195.83746187761426
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,6,0.8902,0.8796477495107632,0.787215411558669,0.8308687615526803,0.8911032123221108,0.5300064937547642,48,49,3,3.0,204.59137703292072
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,7,0.9086,0.8939986953685584,0.8231231231231231,0.857098186366479,0.9071234528144532,0.5755915069125015,78,79,3,3.0,211.7576105617918
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,8,0.9151,0.9223744292237442,0.8223320732771154,0.8694850115295927,0.9119318960460896,0.5479455809756113,118,119,3,3.0,217.76838136371225
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,9,0.9373,0.9253098499673842,0.8769706336939722,0.900491985399143,0.9145822214315362,0.5560427909327332,164,165,3,3.0,220.2439270839095
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,10,0.9477,0.9377038486627528,0.8964764577486748,0.9166268133269567,0.9165824724282832,0.5541353217385017,214,215,3,3.0,223.3703331858851
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,11,0.9553,0.9429223744292238,0.9140056907998735,0.9282388826456895,0.9151312158161475,0.5455326033807628,259,260,3,3.0,225.74920987011865
1,radial_segment_3d_fuzziness_003_10000_samples_dim_03,3,hhcart_d,12,0.9608,0.961839530332681,0.9147022332506204,0.9376788553259141,0.9110073870347843,0.539644139156761,295,296,3,3.0,227.74063392914832
