shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,lambda_reg,threshold_value,alpha,runtime
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,0,0.6874,0.0,,,0.0,0.0,0,1,0,0.0,,,,0.0003033648245036602
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,1,0.6874,0.0,,,0.47696737044145876,0.4219826378699927,1,2,1,0.0,,,,46.184122582897544
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,2,0.6874,0.0,,,0.7272872680742162,0.5838071049778919,3,4,2,1.5,,,,73.22538715275005
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,3,0.7021,0.9625719769673704,0.5125191619826265,0.6688896298766256,0.8593250159948818,0.6774500510258907,7,8,2,1.5,,,,94.45662503363565
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,4,0.7755,0.9660908509277031,0.5853847644892421,0.7290283645141822,0.904522860376987,0.6850677854445104,12,13,2,1.5,,,,109.747661779169
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,5,0.7798,0.9811260396673065,0.5886756238003839,0.7358445297504799,0.9019589921701245,0.6713951962129188,20,21,2,1.5,,,,121.76298980275169
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,6,0.8823,0.8320537428023033,0.7995696280356593,0.8154883210534567,0.9103886756238002,0.6595272709229651,31,32,2,1.5,,,,127.44916505366564
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,7,0.9223,0.9030710172744721,0.8562329390354868,0.8790284913591779,0.9165805403809246,0.6402821615908414,38,39,2,1.5,,,,132.14522342011333
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,8,0.9436,0.9651311580294306,0.8689516129032258,0.9145195513792058,0.9003877942731797,0.6061000217025647,48,49,2,1.5,,,,135.8176832217723
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,9,0.9603,0.927703134996801,0.9443178117876913,0.935936743585606,0.9036108445297506,0.5939782849518209,63,64,2,1.5,,,,137.55536034982651
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,10,0.9888,0.9801663467690339,0.9839434810533076,0.9820512820512821,0.9090040520366816,0.5888099429823712,74,75,2,1.5,,,,138.63294271705672
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,11,0.9927,0.9849648112603967,0.9916264090177134,0.988284384528968,0.9091917253145658,0.5572911079227463,89,90,2,1.5,,,,141.59626202099025
radial_segment_2d,0.0,10000,8,radial_segment_2d_fuzziness_000,2,ridge_cart,12,0.9956,0.9929622520793346,0.9929622520793346,0.9929622520793346,0.9161992434265691,0.5552864238072932,102,103,2,1.5,,,,144.25410628924146
