seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,splits,leaves,avg_active_feature_count,feature_utilisation_ratio,tree_level_sparsity_index,composite_interpretability_score,training_time
42,barbell_2d_15_percent_noise,2,oc1,0,0.6616,1.0,0.3384,0.5056784219964136,0,1,0.0,0.0,,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,1,0.6616,0.0,0.0,0.0,1,2,0.0,0.0,,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,2,0.7256,0.5325059101654847,0.6079622132253711,0.5677378701953372,3,4,2.0,1.0,0.0,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,3,0.7604,0.5709219858156028,0.6717663421418637,0.6172523961661341,7,8,1.5,0.75,0.25,1.5,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,4,0.805,0.6731678486997635,0.7296604740550929,0.7002766676913618,15,16,2.0,1.0,0.0,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,5,0.815,0.6855791962174941,0.746941403734707,0.7149460708782742,30,31,1.5,0.75,0.25,1.5,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,6,0.8208,0.6903073286052009,0.7584415584415585,0.7227722772277229,52,53,1.5,0.75,0.25,1.5,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,7,0.846,0.6743498817966903,0.8389705882352941,0.7477064220183487,88,89,2.0,1.0,0.0,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,8,0.8576,0.6956264775413712,0.8566229985443959,0.7677756033920419,128,129,2.0,1.0,0.0,,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,9,0.8702,0.7293144208037825,0.8659649122807017,0.7917869746551172,181,182,1.5,0.75,0.25,1.5,77.86527514457703
42,barbell_2d_15_percent_noise,2,oc1,10,0.881,0.7523640661938534,0.8785369220151829,0.81056988220312,237,238,2.0,1.0,0.0,,77.86527514457703
